"It includes 7 songs about imagination and love.\"";5000;come-on-a-journey-with-us-to-never-land;;AU;AUD;1398290220;1398290220;1395656779;1395698220;0;0;;
kkst827562740;The Arduino Compatible 4x4 Keypad Matrix Processor Set;Two processor boards to choose from! Functions include servo motor control, panic alarm, Arduino compatible outputs & one talks to you!;2000;the-arduino-compatible-4x4-keypad-matrix-processor;;CA;CAD;1398290291;1398290291;1394915714;1395698291;36;1
kkst2084034591;MyArmBot: Open Source, Wireless, Arduino-Android Fit Robot;Modular 3D printable personal robot arm that's Arduino compatible! Li-ion power and wireless Bluetooth control let you use it anywhere.;6000;myarmbot-open-source-wireless-arduino-android-fit;;US;USD;1398290562;1398290562;1392795785;1394661762;21;0
kkst1988873812;My First Album - Under The Streetlights;Finally!!!! I need your help to bring my first ever album to life! Do you want to be a part of something that could be amazing?;4500;my-first-album-under-the-streetlights;;AU;AUD;1398291240;1398291240;1396247157;1396559516;1;0
kkst1669729222;Secret Identity: Covering The Music of Marvel & DC film & TV;The Andrew Allen Trio is following up successful Star Trek and video game cover albums with covers of the music of Marvel & DC comics!;18100;andrew-allen-trio-the-music-of-marvel-and-dc;;US;USD;1398292076;1398292076;1395613507;1395700076;528;0
kkst1861042142;Governor's Cup: City of Dreams Pavilion;This serpentine canopy of 30,000 reclaimed plastic cups will be the feature pavilion at Figment NYC 2014 on Governors Island.;10000;governors-cup-city-of-dreams-pavilion;;US;USD;1398292455;1398292455;1394551342;1395700455;120;1
kkst844419300;Siegfried the Boy;A feature film about Siegfried Ferguson's final year in high school. Be a part of this laugh out loud comedy with a pet teacup pig.;40000;siegfried-the-boy;;US;USD;1398292586;1398292590;1394038405;1395268586;70;0
kkst821714343;Alex Schechter’s Debut Album “Outlier;“Outlier” will be my first rap album! It will be produced by multiple producers and Djs. Help spread my message and share my music!;5000;alex-schechters-debut-album-outlier;;US;USD;1398293549;1398293549;1388171389;1395701549;11;0
kkst1285071147;"\"Blueprint  Respect the Architect  Tour at Catalyst Miami\"";The Vice City Cypher hosts Indie Hip Hop Legends: Blueprint with Count Bass D and DJ Rare Groove in Miami May 10th, 2014 for FREE!!!;900;blueprint-respect-the-architect-tour-at-catalyst-m;;US;USD;1398294000;1398294011;1396044823;1396900664;11;0
kkst278311938;METAL ART PROJECT;I want to purchase a CNC plasma burning machine to start a metal art production house.;18000;metal-art-project;;US;USD;1398294055;1398294057;1393884768;1394150455;13;0
kkst425983336;SometimesBeautiful Book;SometimesBeautiful empowers and redefines, both physically and cerebrally, the perception of beauty.;9800;sometimesbeautiful-book;;US;USD;1398296044;1398296044;1391130115;1393115644;18;0
kkst684927958;Tides of Possibility -- an independent SciFi anthology;A science fiction anthology from the rising stars of indie-publishing in Texas and beyond.;725;tides-of-possibility-an-independent-scifi-antholog;;US;USD;1398296468;1398296470;1392323719;1395704468;67;1
kkst867078788;DECEPTION (Concept Art);An exciting children's movie filled with laughter and good lessons to be learned along the way.;450;deception-concept-art;;US;USD;1398296719;1398296719;1397349631;1397691919;16;1
kkst1071093394;Art, Architecture and Historical Tours of San Francisco;The City Explorer SF app is a guide to unique places San Francisco you can explore at your own pace, in your own time.;2500;art-architecture-and-historical-tours-of-san-franc;;US;USD;1398297600;1398297612;1393884178;1395343626;45;1
kkst1460286703;Donington to Download : A History of Rock at Donington Park;Definitive book of the history of Rock at Donington Park, told through hundreds of interviews with the bands, includes over 400 artists;15000;donington-to-download-a-history-of-rock-at-doningt;;GB;GBP;1398297753;1398297753;1395092502;1395705753;24;0
kkst1042999495;APEXICON - Fantasy Puzzle Combat - Puzzle RPG;Take down enemies with words! Different classes! Loot! Town building! Backed by Puzzle Quest dev, Steve Fawkner!;5000;apexicon-fantasy-puzzle-combat-puzzle-rpg;;US;USD;1398298163;1398298164;1392244750;1395706163;235;1
kkst1461414758;"Blurry  - An Interactive Web Series Where You're in Control\"";You, the viewers, control the destiny of Kendall as he navigates his way through shady characters in hopes of finding his identity.;5000;blurry-an-interactive-web-series-where-youre-in-co;;US;USD;1398298240;1398298240;1390725570;1395706240;10;0
kkst83358865;The Drizzle Bar: All-Natural Bacon Infused Organic EVOO;BACON Flavor-Infused Extra Virgin Olive Oil! 100% Organic + 100% First Cold Pressed = 100% Amazing EVOO! -The Drizzle Bar.;2800;the-drizzle-bar-all-natural-flavor-infused-organic;;US;USD;1398299268;1398299268;1395626533;1395707268;25;0
kkst1599646651;Gunfolk;“Gunfolk” - A fantasy spaghetti western serial based in a fictional  frontier town where zombies and vampires are everyday problems.;9893;gunfolk;;US;USD;1398299538;1398299538;1392690058;1395707538;23;0
kkst1442494060;Germaphobia;A fun & lighthearted heightened-reality, 4th-wall-breaking comedy about a quirky germaphobic girl who has to lick a vile sock for love!;3900;germaphobia;;US;USD;1398300466;1398300467;1395213629;1395708466;38;0
kkst1534515836;Making a Scene 2013 Art Book. Art from classic movies.;Jim Ferguson's 2013 Movie Scene Art Book. 60 page Hardcover book with 60+ illustrations of classic and cult classic movies.;5000;making-a-scene-2013-art-book-art-from-classic-movi;;US;USD;1398301200;1398301211;1392678183;1395665618;116;1
kkst81312192;Rainbow Reef : starring Ed Asner & Danilo DiJulio (Canceled);A stock broker has to change his white collar ways when he loses everything but a run down scuba shop his Uncle left him.;4e+05;rainbow-reef-sit-com-starring-ed-asner-and-danilo;;US;USD;1398304126;1398276686;1395249737;1395280126;54;0
kkst151192525;Augmenting the Web: Bringing AR to Billions of Web browsers;We use your web browser to give you Augmented Reality super powers! See through walls & magically see what others can't!;48000;augmenting-the-web-open-your-ar-to-billions-of-bro;;AU;AUD;1398304800;1397724037;1394067035;1394738622;88;0
kkst33873860;GREAT FILM COMPOSERS & THE PIANO: CD+VIDEO by GLORIA CHENG;New piano works by John Williams, Bruce Broughton, Don Davis, Michael Giacchino, Randy Newman, Alexandre Desplat. Pianist: Gloria Cheng;16000;great-film-composers-and-the-piano-cd-video-by-glo;;US;USD;1398308964;1398308964;1395371600;1395716964;98;1
kkst868660856;Kellerville - Turn to the Hills Album;Holly and Lee's collection of original tunes is ready to be recorded and turned into their second album, but only you can make it real!;4400;kellerville-turn-to-the-hills-album;;US;USD;1398311940;1398311941;1391714458;1395451377;57;1
kkst1425347242;LineShark - The Audio Interface for iOS + Android;Turn any smartphone or tablet into hundreds of different effects  pedals, drum machines, DAW's, loop stations, vocoders and more.;60000;lineshark-the-audio-interface-for-any-mobile-devic;;US;USD;1398312438;1398312440;1378738757;1394424438;93;0
kkst1172546546;Glovken - A Fashionable Commute;A fashionable commute by Glovken.;2500;glovken-a-fashionable-commute;;US;USD;1398321240;1398321241;1397078713;1397634216;3;0
kkst1266294572;Chocolate & Peanut Butter Covered Bacon! This is Wicked!;Our chocolate & peanut butter bacon is flying out the door! We need funds so that we can fulfill orders for all our delicious flavors!;6550;chocolate-and-peanut-butter-covered-bacon-this-is;;US;USD;1398324883;1398324885;1395493197;1395732883;3;0
kkst703836397;Resuscitate (Mini-Series);Eight episode mini-series that narrates the growing relationship of two individuals finding the strength to trust and love again.;25000;resuscitate-mini-series;;US;USD;1398327917;1398327918;1389142506;1393147517;2;0
kkst1284413575;Azlynn Noelle: The Girl Who Found Her Castle;"\"Children's book about the touching true story of a missionary family's sudden  goodbye  to their 3-yr-old daughter";"Azlynn Noelle.\"";15000;azlynn-noelle-the-girl-who-found-her-castle;;US;USD;1398337353;1398337353;1391543796;1395745353;226
kkst952571897;The Nova: The Duvet Cover Reinvented;Innovative and premium bedding designed to forever transform the way you make your bed.;20000;the-nova-the-duvet-cover-reinvented;;US;USD;1398344961;1398344961;1390601203;1395752961;220;1
kkst73005525;Huiiz : The facial recognition search engine (Canceled);The way to search and find all the pictures of yourself and the people you care for!;140000;huiiz-the-facial-recognition-search-engine;;CA;CAD;1398348024;1397943188;1381440895;1395756024;31;0
kkst598675561;Birds of Lace 2014 Letterpress Chapbooks & Broadsides;Birds of Lace will publish four chapbooks with accompanying letterpress broadsides and a portfolio of letterpress broadsides in 2014.;3500;birds-of-lace-2014-letterpress-chapbooks-and-broad;;US;USD;1398349004;1398349004;1389628169;1395757004;101;1
kkst1849730552;TORO BRAVO — drama/romance screenplay;TORO BRAVO is the story of a Texas rodeo cowboy who is seduced by a rare beauty into the world of Spanish torero and becomes a matador.;14000;toro-bravo-drama-romance-screenplay;;US;USD;1398349579;1398349579;1393362908;1395325579;5;0
kkst618252353;Pizza Bonanza;A webseries! Each episode is half pizza cooking show, half pizzercise!;500;pizza-bonanza;;US;USD;1398351520;1398351520;1395021340;1395759520;160;1
kkst1262011569;Sentinel Tactics: The Flame of Freedom;Sentinel Tactics: The Flame of Freedom is the hex-grid based tactical combat game for 2-8 players set in the world of Sentinel Comics!;50000;sentinel-tactics-the-flame-of-freedom;;US;USD;1398351579;1398351611;1393360387;1395759579;2175;1
kkst1210808975;Fotobit: Modular Photo Framing System;Fotobit is a simple, expandable modular frame system to display your photos and Instagram prints.;16000;fotobit-modular-photo-framing-system;;US;USD;1398351662;1398351662;1393013792;1395759662;296;1
kkst1701561772;Hex Heroes - A Party RTS for Wii U/PC/Mac/Linux;Party RTS for all ages on Wii U. 4 players on the TV team up with 1 on the gamepad to build, fight, strategize & win! PC/Mac/Linux too!;80000;hex-heroes;;US;USD;1398351696;1398351697;1382066616;1395759696;2294;1
kkst1217176013;Album release. We Might Be Giants;I have a record deal with a publishing house and I need funding to record , mix and master my project in Oklahoma;3000;album-release-we-might-be-giants;;US;USD;1398353971;1398353971;1394510028;1395761971;3;0
kkst1445463879;Sean Waldron is recording a brand new EP! (Canceled);We'll be right back in 5 minutes... if not, read this again.;10000;sean-waldron-is-recording-a-brand-new-ep-lets-ligh;;US;USD;1398354906;1396652012;1394666143;1395762906;10;0
